Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments
Foundational technical knowledge and digital literacy,Software Development,Software Engineering,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,
,,Examination of Software Architecture: Principles and Practices,https://www.sei.cmu.edu/training/software-architecture-principles-practices-elearning/,Software Engineering Institute (SEI),Online course,"Learners will understand how architectural decisions enable flexibility, interoperability, scalability, and cost efficiency while supporting organizational strategy and market positioning. By the end of the course, participants will be able to leverage software architecture to improve system maintainability, team coordination, and long-term business value.","Experience in the development of software-reliant systems
and familiarity with modern software engineering concepts",16 hours,Intermediate,"professionals who design, develop, or manage the construction of software-reliant systems.",Interactive,N/A,N/A,N/A,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,This course has price tag of $500  which could be a bit expensive for a student.
,,Software Architecture: Principles and Practices,https://www.sei.cmu.edu/training/software-architecture-principles-practices-elearning/,Software Engineering Institute (SEI),Online course,"Learners will understand how architectural decisions enable flexibility, interoperability, scalability, and cost efficiency while supporting organizational strategy and market positioning. By the end of the course, participants will be able to leverage software architecture to improve system maintainability, team coordination, and long-term business value.","Experience in software-reliant systems; familiarity with modern 
software engineering; ownership of the Software 
Architecture in Practice, 4th Edition textbook.",16 hours,Intermediate,"Professionals who design,develop, or manage the 
construction of software-reliant systems.",Interactive,N/A,N/A,N/A,No,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,This course has price tag of $500  which could be a bit expensive for a student.
,,"Understanding Software Architecture, Quality, and Security Through Code Analysis",https://www.sei.cmu.edu/training/software-architecture-design-analysis/,Software Engineering Institute (SEI),Online (Live sessions) course,"This course provides in-depth coverage of the principles and methods required to design and analyze effective software architectures. Learners will understand key architectural design considerations, quality attribute elicitation using the Quality Attribute Workshop (QAW), and architecture design through the Attribute-Driven Design (ADD) method. By the end of the course, participants will be able to evaluate architectures and integrate these methods within the software development life cycle.",Completing the Software Architecture: Principles and Practices course,5 hours a day for 3 days ,,"Practicing software architects

Designers and developers of software-reliant systems",Interactive,N/A,N/A,N/A,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Transition to industry,"Scheduled to start on May 11-14 this year from 12-5pm EST

Costs $1200"
,,Documenting Software Architectures,https://www.sei.cmu.edu/training/documenting-software-architectures-elearning/,Software Engineering Institute (SEI),Online course,"This course equips software architects with the skills to create clear, comprehensive, and stakeholder-focused software architecture documentation. Learners will understand how to apply view-based documentation approaches, select appropriate architectural views, and capture the essential information needed to communicate structure, behavior, and interfaces. By the end of the course, participants will be able to use formal and informal notations, including UML, to produce architecture documentation that is useful, consistent, and actionable across stakeholder groups.","Experience in designing and developing software-intensive systems. 

Understanding  the basic concepts of software architecture.

Completing the Software Architecture: Principles and Practices course.",12 hours ,Intermediate,"software architects and software lead designers 

Software engineers who may be expected to use architecture documentation",Interactive,N/A,N/A,N/A,No,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Transition to industry,An essential course on technical documentation but might be too expensive for a student. 
,,,,,,,,,,,,,,,,,,
,Programming Fundamentals,Basic Programming Constructs,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,
,,Lists,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,
,,Loops And Strings,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,
,,Object Oriented Programming (OOP),,CMU Computer Science Academy,Online course,,,,,,,,,,,,,
,,Recursion,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,
,,"Sets, Dictionaries, and Efficiency",,CMU Computer Science Academy,Online course,,,,,,,,,,,,,
,,Introduction to Programming in Java,https://oli.cmu.edu/courses/introduction-to-programming-in-java-o-f/,OLI,Online course,"Write, compile, execute, and debug simple programs in Java
Use primitive data types, type conversions, strings, and arrays to handle data
Apply different constructs for iteration and conditional statements to manage a program’s control flow",,4 weeks ,Beginner,,Interactive,,Fall 2018,N/A,No,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,
,,Principles of Computation with Python,https://oli.cmu.edu/courses/principles-of-computation-with-python-open-free/,OLI,Online course,"What students will learn:

Programming with Python (Introduction, Conditionals, Loops)

Iterative Processes

Recursive Thinking

Representation of Data and Instructions in Binary

Cellular Automata as a Means of Generating Random Behavior

Encryption Methods

Limits of Computability",,10 weeks ,Beginner,,Interactive,,August 2016,,No,,,Efficient resource for getting started with python and computing principles
,,,,,,,,,,,,,,,,,,
,Math Foundations,Linear algebra,https://www.youtube.com/playlist?list=PLE7DDD91010BC51F8,MIT,Lecture,"The goals for 18.06 are using matrices and also understanding them.
Here are key computations and some of the ideas behind them:
    Solving Ax = b for square systems by elimination (pivots, multipliers, back substitution, invertibility of A, factorization into A = LU)
    Complete solution to Ax = b (column space containing b, rank of A, nullspace of A and special solutions to Ax = 0 from row reduced R)
    Basis and dimension (bases for the four fundamental subspaces)
    Least squares solutions (closest line by understanding projections)
    Orthogonalization by Gram-Schmidt (factorization into A = QR)
    Properties of determinants (leading to the cofactor formula and the sum over all n! permutations, applications to inv(A) and volume)
    Eigenvalues and eigenvectors (diagonalizing A, computing powers A^k and matrix exponentials to solve difference and differential equations)
    Symmetric matrices and positive definite matrices (real eigenvalues and orthogonal eigenvectors, tests for x’Ax > 0, applications)
    Linear transformations and change of basis (connected to the Singular Value Decomposition - orthonormal bases that diagonalize A)
    Linear algebra in engineering (graphs and networks, Markov matrices, Fourier matrix, Fast Fourier Transform, linear programming)
",Multivariable Calculus,35 videos roughly 50 mins each,Not Stated,N/A,passive,"May 7, 2009",September 2019,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,The last update was audio improvement. Captions are Youtube captions
,,Linear algebra,https://www.youtube.com/watch?v=fNk_zzaMoSs&list=PLZHQObOWTQDPD3MizzM2xVFitgF8hE_ab,"3Blue1Brown
",Video series,N/A,N/A,16 videos roughly 4 - 17 min each,Not Stated,N/A,passive,"Aug 6, 2016",February 2025,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,Captions are provided by Youtube.
,,Calculus,https://www.youtube.com/playlist?list=PLZHQObOWTQDMsr9K-rj53DwVRMYO3t5Yr,"3Blue1Brown
",Video series,N/A,N/A,12 videos roughly 5 - 22 min each,Not Stated,N/A,passive,"Apr 28, 2017",February 2025,Yes,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,Captions are provided by Youtube.
,,Statistical Reasoning,https://oli.cmu.edu/courses/statistical-reasoning-copy/,OLI,Online course,"By the end of this course, students will be able to:

Collect, organize, and summarize data using appropriate graphical and numerical methods.

Describe and interpret distributions of categorical and quantitative variables in context.

Analyze relationships between variables using tables, graphs, correlation, and regression.

Apply probability concepts and models to assess likelihood and uncertainty.

Explain and use sampling distributions to understand variability and make statistical judgments.

Perform statistical inference, including confidence intervals and hypothesis tests, and interpret results in context.

Evaluate data-based claims critically, recognizing limitations, sources of bias, and the difference between association and causation.",Basic Algebra,One semester,Not Stated,Students with no prior knowledge in statistics,Interactive,N/A,December 2017,No,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,
,,Causal and Statistical Reasoning,https://oli.cmu.edu/courses/causal-and-statistical-reasoning-open-free/,OLI,Online course,"By the end of this course, students will be able to:

Explain foundational concepts of causation, including deterministic and indeterministic causal relationships among variables.

Distinguish between causation and association, and explain why associations do not necessarily imply causal relationships.

Analyze relative and conditional frequencies to assess association and independence between variables.

Use causal graphs to represent causal assumptions and reason about relationships among variables.

Apply concepts of conditional independence and d-separation to evaluate causal structures and implied associations.

Identify and explain challenges in causal inference, including confounding and limitations of causal discovery from observational data.

Evaluate causal claims and strategies, including the role of interventions and experiments, using formal reasoning and real-world case studies.",N/A,"A semester long, at the pace of one or two modules per week.",Not Stated,"students interested in critical thinking skills for daily life, students who will take a few statistics courses in service of a related field of study, and/or students interested in the foundations of quantitative causal models",passive,N/A,N/A,No,Yes,Other (Specify in the 'Comments' column),Ongoing study,Prepares students for research and critical thinking from a statistical and causal angle.
,,Concepts of Statistics,https://oli.cmu.edu/courses/concepts-of-statistics/,OLI,Online course,"Build statistical reasoning and conceptual understanding of basic statistical concepts, while developing the students’ procedural (and technological) competence with basic statistical processes.",N/A,One semester,Not Stated,Students who may have a weak algebra background.,Interactive,N/A,January 2018,No,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Ongoing study,20 USD per student
,,Probability & Statistics,https://oli.cmu.edu/courses/probability-statistics-open-free/,OLI,Online course,"By the end of this course, students will have gained an appreciation for the diverse applications of statistics and its relevance to their lives and fields of study. They will learn to:

develop strong learning strategies for Probability & Statistics, as well as other online courses.
identify sampling methods used to produce data.
create and analyze distributions of variables.
apply the rules of probability to determine the likelihood of an event.
use a sample to infer (or draw conclusions) about the population from which it was drawn.",Basic Algebra,One semester,Beginner,Designed for students with no prior knowledge in statistics,Interactive,N/A,December 2017,No,Yes,"Demonstrate proficiency in mathematics, including calculus, linear algebra, probability and statistics, and discrete mathematics.",Pre-arrival,
,Data Science,Big Data Analytics,https://carmattu.com/video-library/big-data-analytics/,CARMA,,,,,,,,,,,,,,Not able to access course info
,,Big Data Concepts,https://carmattu.com/video-library/big-data-concepts//,CARMA,Lecture,,,,,,,,,,,,,Not able to access course info
,,Creating Datasets with Social Media,https://carmattu.com/video-library/creating-datasets-with-social-media/,CARMA,Lecture,,,,,,,,,,,,,Not able to access course info
,,Methods for Collecting and Analyzing Data from Zoom Meetings,https://carmattu.com/video-library/methods-for-collecting-and-analyzing-data-from-zoom-meetings/,CARMA,Lecture,,,,,,,,,,,,,Not able to access course info
,,Business Analysis,https://www.dataquest.io/path/business-analyst-with-power-bi/,DataQuest,Online course,"By the end of the course, the learner should be able to:
Use and apply foundational math and statistics to perform data analysis
Retrieve and manipulate data from databases using SQL
Import, prepare, analyze, and summarize data with Excel
Convey insights effectively to tell a story using Microsoft Power BI",N/A,3 months,Beginner,N/A,Interactive,N/A,N/A,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Transition to industry,
,,Data Analysis,,DataQuest,Online course,,,,,,,,,,,,,Not able to pinpoint particular course. There are multiple
,,Data Engineering,https://www.dataquest.io/path/data-engineering/,DataQuest,Online course,"Programming with Python and building complex data architecture to support organizations' data strategy
Managing distributed data processing with PySpark and orchestrating workflows with Apache Airflow
Containerizing applications with Docker and deploying them to cloud infrastructure
Building production-grade data pipelines that scale automatically and run reliably in cloud environment",N/A,4 months,Beginner,N/A,Interactive,N/A,N/A,N/A,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Transition to industry,
,,Data Science,https://www.dataquest.io/path/data-scientist/,DataQuest,Online course,"Programming with Python to perform complex statistical analysis of large datasets
Performing SQL queries and web-scraping to explore and extract data from databases and websites
Building insightful data visualizations to tell stories
Automating machine learning algorithms and build predictive modeling processes",,11 months,Beginner,N/A,Interactive,N/A,N/A,N/A,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,
,,Data 101,https://guides.library.cmu.edu/data101,CMU Libraries,Online guide,N/A,N/A,N/A,Not Stated,N/A,passive,N/A,N/A,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Analyze Qualitative Data,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=66,SAGECampus,Online course,"This course will help you to:
    Identify the types of data that generate themes and recognize why themes matter
    Effectively organize your data and decide on the best approach to transcribing it
    Evaluate the different approaches to coding and evaluate which is most suitable for analyzing your own data
    Identify meaningful data to create appropriate codes, organizing them into categories to help with data analysis
    Analyze your categories to find themes, evaluating these against the data
    Use evidence from your data to support your themes",Pre-course Self Assessment,5 Hrs,Beginner,N/A,passive,Jan 2022,May 2024,Yes,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Chart Smarter: Mastering Data Visualization,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=106,SAGECampus,Online course,"This course will help you to:
    Identify situations where the utilization of data visualization is appropriate   
    Encode data using the main visual variables
    Choose the appropriate chart that facilitates each type of comparison  
    Practice creating graphs in Excel  
    Format and style charts to make powerful visualizations",Pre-course Self Assessment,4 Hrs,Beginner,N/A,passive,March 2025,March 2025,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Cleaning Messy Data,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=72,SAGECampus,Online course,"This course will help you to:
    Recognize when data are messy and require cleaning
    Apply cleaning methods to messy datasets
    Recognize how cleaning messy data contributes to good data management
    Perform quality control of data",Pre-course Self Assessment,3 Hrs,Beginner,N/A,passive,Jan 2023,July 2025,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Collecting Social Media Data,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=13,SAGECampus,Online course,"This course will help you to:
    Understand how social media data presents challenges that differ from other types of data, particularly in relation to research ethics.
    Be empowered to effectively plan a social media data based project, including the data collection strategy, data storage and curation, and analysis.
    Gather, clean and analyze social media data using Workbench.",Pre-course Self Assessment,6 Hrs,Beginner,N/A,passive,July 2019,May 2024,N/A,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,
,,Interactive Visualization with R,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=4,SAGECampus,Online course,"This course will help you to:
    Understand the need for interactive visualizations and reports, and the associated workflow
    Produce a range of visualizations relevant to the available data
    Produce and publish a report that contains appropriate interactive visualizations to tell a story about the data",Pre-course Self Assessment,40 Hrs,Advanced,N/A,passive,Sept 2017,Sept 2024,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Introduction to Data Visualization,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=3,SAGECampus,Online course,"This course will help you to:
    Recognize the definition of data visualization as well as the capabilities and activities involved in the design process
    Increase the sophistication of your critical thinking by following the 3 principles of good design
    Formulate a brief to establish clarity about the context and vision of your data visualization task
    Gather, familiarize and prepare your understanding of the data with which you are working
    Use editorial thinking to shape what you are going to say with your data visualization
    Broaden your awareness and the potential application of the variety of data representation techniques
    Explore the value and potential application of interactivity and annotation in your data visualization design
    Identify the application of colour and composition decisions in your data visualization design",Pre-course Self Assessment,12 Hrs,Beginner,N/A,passive,March 2018,May 2024,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Introduction to Text Mining,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=10,SAGECampus,Online course,"This course will help you to:
    Define text mining and text analysis  
    Select and sample appropriate data  
    Identify the various types of lexical resources, their uses and availability   
    Differentiate between narrative, thematic, and metaphor analysis approaches
    Differentiate between text classification, opinion mining, information extraction, and topic modeling 
    Explore available data sets and software tools for key text mining techniques ",Pre-course Self Assessment,10 Hrs,Beginner,N/A,passive,Dec 2018,July 2025,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,,Practical Data Management with R,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=8,SAGECampus,Online course,"By the end of this course you will have gained:
    An understanding of Basic R commands and data structures for manipulating data
    The ability to read data from multiple formats in and out of R
    Proficiency using loops, conditional statements, and functions to automate common data management tasks
    Familiarity with R’s package system for extending its functionality
    The skills to clean and manage multiple complex datasets
    The ability to clean and manipulate textual data
    An understanding of basic web scraping techniques, for both standard web pages and the Twitter API
    An overview of the techniques and hardware necessary to manage large datasets efficiently",Pre-course Self Assessment,30 Hrs,Intermediate,N/A,passive,Sept 2017,June 2024,N/A,Yes,"Use basic tools, such as Google Workspace applications, to collect, analyze, and manage digital information and solve problems.",Ongoing study,
,AI & ML,Introduction to Artificial Intelligence,https://classroom-sagepub-com.cmu.idm.oclc.org/course/view.php?id=67,SAGECampus,Online course,"This course will help you to:

    Recognize how AI is already integrated into daily life across various tools, platforms, and industries 
    Identify appropriate use cases for Gen AI across academic, creative, and professional contexts 
    Evaluate the trustworthiness of AI-generated outputs and check for bias, errors, and hallucinations 
    Reflect on the social, environmental, and labor impacts of the use and development of AI  
    Recognize the role of individuals and communities in shaping the future of AI ",Pre-course Self Assessment,3 Hrs,Beginner,N/A,passive,May 2022,July 2025,N/A,Yes,Other (Specify in the 'Comments' column),Ongoing study,Foundations in AI
,,Introduction to Artificial Intelligence (AI) Engineering,https://www.sei.cmu.edu/training/introduction-to-artificial-intelligence-ai-engineering-elearning/,Software Engineering Institute (SEI),Online course,"This course is designed to:

    Promote the fundamentals of the discipline of AI Engineering
    Showcase use cases and constraints of AI technologies
    Build awareness of the AI engineering process
    Translate cross-functional activities that occur during the AI engineering process
    Illustrate common decisions and tradeoffs
    Present design patterns and techniques","Learners should have some familiarity with AI capabilities (e.g., classification systems, natural language processing)",7 Hrs,Beginner,"- Design researchers, usability experts, AI ethicists, and risk and compliance officers
- Program managers, product managers, and executives
- Data scientists, software engineers, machine learning (ML) engineers, data engineers, and solution architects",Interactive,N/A,N/A,N/A,Yes,Other (Specify in the 'Comments' column),Pre-arrival,"Foundations in AI, Requires payment of 550 USD"
,Networking,Cyber Technology — NSC STEM Pathways,https://oli.cmu.edu/courses/cyber-technology-nsc-stem-pathways-open-free/,OLI,Online course,"By the end of this pathway, students will be able to:

Identify and configure PC hardware and software components, including storage interfaces, ports, and appropriate operating system tools.

Apply foundational networking concepts, including routing, addressing, and the purpose of gateways and network translation.

Configure and analyze network routing, including static, dynamic, default, and summarized routes in IPv4 and IPv6 environments.

Demonstrate proficiency with numbering systems, converting and applying decimal, binary, and hexadecimal values in computing and networking contexts.

Apply basic security and addressing principles, including subnet masks, subnetting, and digital certificates.

Interpret and troubleshoot network behavior using routing tables and network diagnostic tools.

Select and correctly use network connection media, including appropriate cables for device communication and configuration.",N/A,1 Year,Not Stated,Not Stated,Interactive,N/A,August 2015,No,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Transition to industry,"To access the course, the learner must sign up and create an account with their andrewID"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Cybersecurity,CERT Applied Data Science for Cybersecurity Certificate Examination,https://www.sei.cmu.edu/training/cert-applied-data-science-cybersecurity-certificate-exam/,Software Engineering Institute (SEI),Certificate program,"This examination provides an objective validation of conceptual knowledge and practical understanding of data analysis for cybersecurity from netflow, malware, and digital forensics activity, as presented in the required courses. The examination consists of 60 multiple choice questions. Students proceed through the examination at their convenience over four hours.","Before registering for this exam, participants must complete the prerequisite courses: Fundamentals of Statistics Applied to Cybersecurity, Advanced Analytics: Netflow, Advanced Analytics: Malware, and Advanced Analytics: Digital Forensics.",4 hours,Not Stated,"This validation exam is required for professionals who wish to pursue the following SEI credentials:

CERT Applied Data Science for Cybersecurity Professional Certificate Program",Interactive,N/A,,N/A,Cannot determine (no access),"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Course Fee: $250
,,CERT Applied Data Science for Cybersecurity Certificate Package,https://www.sei.cmu.edu/training/cert-applied-data-science-cybersecurity-certificate/,Software Engineering Institute (SEI),Certificate program,,,,,,,,,,Cannot determine (no access),,,"CERT Applied Data Science for Cybersecurity Certificate Package consists of the following courses:

Fundamentals of Statistics Applied to Cybersecurity
Advanced Analytics: Netflow
Advanced Analytics: Malware
Advanced Analytics: Digital Forensics
CERT Applied Data Science for Cybersecurity Certificate Examination"
,,CERT Artificial Intelligence (AI) for Cybersecurity Professional Certificate,https://www.sei.cmu.edu/training/cert-ai-cybersecurity-professional-certificate/,Software Engineering Institute (SEI),Certificate program,"After successful completion of this course, you will understand:
AI technologies in cybersecurity
strengths, limitations, and appropriate use cases for AI
how to apply AI tools in a real-world setting
","Learners should have a basic understanding of cybersecurity, statistics, mathematics, and computer programming. Experience with Python is helpful but not required.",13 hours,Not Stated,This professional certificate program is intended for cybersecurity professionals who operate in technical roles. The course content and hands-on laboratory exercises will prepare learners to apply AI techniques to their work.,Interactive,N/A,,N/A,,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Ongoing study,Course Fee: $1500
,,CERT Secure Coding in C and C++ Professional Certificate,https://www.sei.cmu.edu/training/cert-secure-coding-professional-certificate/,Software Engineering Institute (SEI),Certificate program,"Students will acquire a working knowledge of common programming errors that lead to software vulnerabilities, how these errors can be exploited, and effective mitigation strategies for preventing the introduction of these errors. In particular, students will learn how to
improve the overall security of any C or C++ application
thwart buffer overflows and stack-smashing attacks that exploit insecure string manipulation logic
avoid vulnerabilities and security flaws resulting from the incorrect use of dynamic memory management functions
eliminate integer-related problems: integer overflows, sign errors, and truncation errors
correctly use formatted output functions without introducing format-string vulnerabilities
avoid I/O vulnerabilities, including race conditions
","A basic to intermediate understanding of the C and C++ programming languages
Software security knowledge or experience is not required",24 months,Not Stated,C and C++ Software Developers,Interactive,N/A,,N/A,Cannot determine (no access),"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,Fee: $1250
,,CERT Secure Coding in Java Professional Certificate,https://www.sei.cmu.edu/training/cert-secure-coding-java-professional-certificate/,Software Engineering Institute (SEI),Certificate program,"Students will acquire a working knowledge of common programming errors that lead to software vulnerabilities, how these errors can be exploited, and effective mitigation strategies for preventing the introduction of these errors. In particular, students will learn how to
improve the overall security of any Java application
avoid injection attacks, such as SQL injection and XSS
understand Java's memory model, with a thorough grounding of concurrency, and learn how to prevent race conditions while avoiding deadlock
learn when to throw and catch exceptions
avoid I/O vulnerabilities, including file-based race conditions
learn how historical exploits on Java were executed and later disabled","A basic to intermediate understanding of the Java programming language
Software security knowledge or experience is not required",24 months,Intermediate,Java Software Developers,Interactive,,,N/A,Cannot determine (no access),"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,Fee: $1250
,,Advanced Analytics: Digital Forensics,https://www.sei.cmu.edu/training/advanced-analytics-digital-forensics/,Software Engineering Institute (SEI),Online course,"After successful completion of this course, you will:
be able to identify the PRAVARA method
have an appreciation for the nuance and complexity of a digital investigation and data science as a whole
explain the relevance of deepfakes to modern data science
explain the differences between types of deepfake techniques
explain the concept of a neural network
complete tasks involving natural language processing related to insider threat analysis
complete tasks related to the deepfake detection process","Before registering for this course, participants must complete the Fundamentals of Statistics Applied to Cybersecurity course.

Learners should have some exposure to digital forensics in itself and a working knowledge of a programming language (preferably Python or R). A working knowledge of calculus and linear algebra is helpful.",6 hours,Not Stated,"Those with a particular interest in data science and cybersecurity, but limited experience with both concepts.",Interactive,,,N/A,Cannot determine (no access),"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,Fee: $500
